first number,second number,third number,fourth number,fifth number,sixth number,date
5,6,21,24,31,45,01 Jan 1998
4,16,20,33,37,46,04 Jan 1998
1,5,14,20,39,48,08 Jan 1998
10,17,39,41,45,49,11 Jan 1998
15,18,25,26,30,34,15 Jan 1998
7,18,22,26,28,48,18 Jan 1998
9,10,11,12,34,48,22 Jan 1998
16,18,27,28,37,43,25 Jan 1998
2,9,13,28,30,47,29 Jan 1998
2,9,16,17,37,39,01 Feb 1998
3,7,14,28,42,48,05 Feb 1998
2,9,11,16,19,36,08 Feb 1998
3,4,15,26,28,42,12 Feb 1998
6,13,15,23,34,36,15 Feb 1998
7,24,34,41,43,49,19 Feb 1998
3,5,13,16,26,27,22 Feb 1998
6,13,22,27,41,49,26 Feb 1998
20,23,24,33,42,44,01 Mar 1998
8,25,31,38,39,41,05 Mar 1998
1,10,25,29,37,47,08 Mar 1998
3,7,17,27,30,42,12 Mar 1998
3,5,6,12,15,35,15 Mar 1998
12,15,20,26,30,44,19 Mar 1998
1,28,30,31,37,44,22 Mar 1998
4,6,40,43,45,48,26 Mar 1998
16,30,31,33,41,46,29 Mar 1998
10,16,18,28,43,47,02 Apr 1998
3,21,36,42,44,47,05 Apr 1998
1,2,8,14,17,37,09 Apr 1998
3,8,31,37,40,46,12 Apr 1998
8,14,15,20,28,38,16 Apr 1998
9,11,20,30,33,35,19 Apr 1998
2,3,13,18,22,41,23 Apr 1998
2,19,28,32,33,39,26 Apr 1998
20,23,26,41,42,43,30 Apr 1998
4,7,15,22,32,35,03 May 1998
2,11,25,26,39,43,07 May 1998
9,11,15,29,30,36,10 May 1998
5,6,21,22,23,26,14 May 1998
21,27,30,35,44,47,17 May 1998
5,12,23,31,38,47,21 May 1998
4,17,23,26,41,45,24 May 1998
7,13,14,18,21,32,28 May 1998
6,10,13,19,21,27,31 May 1998
31,32,34,40,45,49,04 Jun 1998
17,26,29,34,38,48,07 Jun 1998
8,14,15,23,26,47,11 Jun 1998
6,8,14,35,45,46,14 Jun 1998
3,4,10,35,41,43,18 Jun 1998
1,4,41,45,46,47,21 Jun 1998
14,34,36,37,41,46,25 Jun 1998
6,12,18,23,30,49,28 Jun 1998
4,5,9,12,31,40,02 Jul 1998
2,8,13,17,28,41,05 Jul 1998
1,6,11,21,39,44,09 Jul 1998
4,21,38,39,46,48,12 Jul 1998
16,17,18,23,27,34,16 Jul 1998
2,12,23,32,38,42,19 Jul 1998
6,14,17,19,26,42,23 Jul 1998
11,20,21,28,30,39,26 Jul 1998
9,14,15,18,38,42,30 Jul 1998
10,26,29,31,32,49,02 Aug 1998
3,14,26,34,37,47,06 Aug 1998
11,24,27,28,39,40,09 Aug 1998
5,17,25,27,45,48,13 Aug 1998
6,11,17,24,34,41,16 Aug 1998
2,23,27,33,42,46,20 Aug 1998
8,19,22,23,33,36,23 Aug 1998
6,24,40,42,45,49,27 Aug 1998
15,34,35,36,40,41,30 Aug 1998
1,20,21,27,41,44,03 Sep 1998
3,11,33,34,44,47,06 Sep 1998
6,10,19,35,38,40,10 Sep 1998
3,18,23,27,30,37,13 Sep 1998
2,3,13,22,33,48,17 Sep 1998
2,13,19,20,21,29,20 Sep 1998
9,10,11,34,37,38,24 Sep 1998
4,12,19,27,32,49,27 Sep 1998
14,26,29,39,41,49,01 Oct 1998
7,9,15,21,29,46,04 Oct 1998
4,6,7,12,31,43,08 Oct 1998
15,18,21,25,45,49,11 Oct 1998
21,36,38,41,44,45,15 Oct 1998
4,24,25,34,38,44,18 Oct 1998
14,15,29,34,38,47,22 Oct 1998
3,17,21,22,33,49,25 Oct 1998
8,15,35,41,42,47,29 Oct 1998
1,26,29,40,44,46,01 Nov 1998
3,4,19,36,44,49,05 Nov 1998
1,16,24,31,34,40,08 Nov 1998
7,9,17,19,30,32,12 Nov 1998
12,23,27,35,41,43,15 Nov 1998
6,15,30,36,38,45,19 Nov 1998
7,15,19,20,24,39,22 Nov 1998
5,8,15,36,37,47,26 Nov 1998
4,7,30,31,37,42,29 Nov 1998
28,33,35,42,43,47,03 Dec 1998
6,12,14,15,17,38,06 Dec 1998
4,14,36,38,39,41,10 Dec 1998
12,16,38,41,43,47,13 Dec 1998
9,17,20,40,43,49,17 Dec 1998
33,40,44,46,47,48,20 Dec 1998
4,20,30,37,47,49,24 Dec 1998
14,19,37,38,40,41,03 Jan 1999
6,11,16,19,26,41,07 Jan 1999
3,36,39,41,44,45,10 Jan 1999
11,16,19,20,43,49,14 Jan 1999
13,14,29,34,38,45,17 Jan 1999
21,26,29,30,42,47,21 Jan 1999
3,12,17,23,35,47,24 Jan 1999
4,6,8,35,37,44,28 Jan 1999
1,3,19,22,34,35,31 Jan 1999
3,10,11,15,35,40,04 Feb 1999
13,27,31,34,44,45,07 Feb 1999
1,5,25,37,38,48,11 Feb 1999
2,5,9,12,20,34,14 Feb 1999
6,12,16,21,36,47,18 Feb 1999
22,26,28,29,32,36,21 Feb 1999
1,3,4,15,26,46,25 Feb 1999
9,14,22,27,42,44,28 Feb 1999
12,15,17,21,34,41,04 Mar 1999
17,24,30,33,38,45,07 Mar 1999
7,30,32,33,37,49,11 Mar 1999
11,17,19,22,35,43,14 Mar 1999
14,21,31,36,39,43,18 Mar 1999
13,26,31,40,46,47,21 Mar 1999
1,6,10,15,37,49,25 Mar 1999
1,7,20,25,27,37,28 Mar 1999
7,29,31,32,38,45,01 Apr 1999
5,14,19,22,25,40,04 Apr 1999
15,22,29,33,36,39,08 Apr 1999
11,19,34,35,41,44,11 Apr 1999
10,24,32,34,37,38,15 Apr 1999
1,10,16,31,33,40,18 Apr 1999
21,29,35,37,38,48,22 Apr 1999
6,10,25,31,32,33,25 Apr 1999
11,20,24,25,28,33,29 Apr 1999
16,22,38,40,47,49,02 May 1999
11,12,16,17,20,41,06 May 1999
4,19,24,32,43,48,09 May 1999
7,10,16,18,35,37,13 May 1999
10,12,20,31,39,44,16 May 1999
7,8,25,30,35,45,20 May 1999
5,6,10,19,27,32,23 May 1999
6,27,37,39,42,49,27 May 1999
30,39,42,43,46,48,30 May 1999
11,13,20,29,36,39,03 Jun 1999
2,5,19,32,41,44,06 Jun 1999
8,10,14,19,39,49,10 Jun 1999
4,11,17,30,42,46,13 Jun 1999
1,7,17,23,25,32,17 Jun 1999
11,13,25,27,28,35,20 Jun 1999
13,14,21,29,37,47,24 Jun 1999
4,9,19,23,24,43,27 Jun 1999
7,11,17,26,34,46,01 Jul 1999
27,30,35,36,37,47,04 Jul 1999
1,3,8,16,27,44,08 Jul 1999
2,12,15,25,30,35,11 Jul 1999
13,16,18,38,43,47,15 Jul 1999
4,18,27,32,35,41,18 Jul 1999
20,25,34,38,44,46,22 Jul 1999
1,3,34,41,43,46,25 Jul 1999
10,14,20,25,41,46,29 Jul 1999
1,10,11,17,28,44,01 Aug 1999
1,6,9,12,23,35,05 Aug 1999
16,18,19,24,33,37,08 Aug 1999
9,16,22,34,36,40,12 Aug 1999
15,19,26,32,46,47,15 Aug 1999
4,21,25,27,39,43,19 Aug 1999
12,19,33,44,47,48,22 Aug 1999
4,8,15,17,21,30,26 Aug 1999
1,4,11,17,19,41,29 Aug 1999
3,22,24,29,37,43,02 Sep 1999
